"PGE_Owned","PGE_Total","CAISO"
"105",-21.6406171708809,70.5062894535043,655.378883596208
"106",-28.8172226117885,63.1467851917873,662.977959452109
"107",-24.0834712963931,67.7952330115915,661.536439734148
"108",-28.4497261135292,62.9254318486768,657.978268287091
"109",-22.1868659020487,66.0330096300447,622.139005896114
"110",-29.2705190022404,61.4032194922577,656.651666624761
"111",-27.8887432375653,64.7615781921843,673.612837362289
"112",-27.7460433257151,66.1018010761534,693.496614337852
"113",-32.0323776847093,62.2995450725285,703.78497215741
"114",-15.2647161390919,78.358216958601,678.990615313201
"115",-22.2055161696434,70.9932756338475,675.038363817653
"116",-22.5120811580722,69.8309651267848,689.829279462512
"117",-28.8853414270457,65.7859364653188,706.383676618087
"118",-43.6395970212464,50.3470196924858,687.419565360795
"119",-31.6141949451477,61.9586946295963,704.413944662475
