"Unmanaged","Portfolio","Composite_index","Streamflow","CDD","NG"
"257",0,0,0,0,0,0
"258",0.186830551785205,0,0.0515734308353242,0,0,0
"259",0,0,0,0,0,0
"260",0,0,0,0,0,0
"261",0,0.00521065493668615,0,0.00521065493668615,0,0
"262",0,0,0,0,0,0
"263",0,0,0,0,0,0
"264",0,0,0,0,0,0
"265",0.0157065351156049,0,0,0,0,0
"266",0,0,0,0,0,0
"267",0,0,0,0,0,0
"268",0,0,0,0,0,0
"269",0,0,0,0,0,0
"270",0.211934999578405,0.0582545205372291,0.067944270343558,0,0.0483287695460817,0.00992575099114745
"271",0,0,0,0,0,0
"272",0,0,0,0,0,0
"273",0,0.0584911643815644,0,0,0,0.0584911643815644
"274",0.271236797189905,0.231734461349344,0.182757584189295,0,0,0.231734461349344
"275",0.0762559278344064,0,0,0,0,0
"276",0,0,0,0,0,0
"277",0,0,0,0,0,0
"278",0.0958784292767056,0.069626954672362,0.100387863876019,0,0,0.069626954672362
"279",0,0.0290370073945194,0,0.0290370073945194,0,0
"280",0,0,0,0,0,0
"281",0,0,0,0,0,0
"282",0,0,0,0,0,0
"283",0,0,0,0,0,0
"284",0,3.12492215108762e-05,0,0,0,3.12492215108762e-05
"285",0,0,0,0,0,0
"286",0.118742672512605,0.129698157816616,0.195999364021128,0,0,0.129698157816616
"287",0,0.0173012801210533,0,0,0.0173012801210533,0
"288",0.0901698674308058,0.153330381584869,0.0637217942872503,0,0,0.153330381584869
"289",0,0,0,0,0,0
"290",0,0,0,0,0,0
"291",0,0,0,0,0,0
"292",0,0,0,0,0,0
"293",0,0,0,0,0,0
"294",0,0.0338991105633468,0,0.0338991105633468,0,0
"295",0,0.0794856500423506,0,0,0,0.0794856500423506
"296",0,0,0,0,0,0
"297",0,0,0,0,0,0
"298",0,0,0,0,0,0
"299",0,0,0,0,0,0
"300",0,0,0,0,0,0
"301",0,0,0,0,0,0
"302",0,0,0,0,0,0
"303",0,0.00311934473144326,0,0,0.00311934473144326,0
"304",0,0,0,0,0,0
"305",0,0.0153558820602164,0,0,0.0153558820602164,0
"306",0,0,0,0,0,0
"307",0,0,0,0,0,0
"308",0,0,0,0,0,0
"309",0.0308411412297058,0,0.00580156274705423,0,0,0
"310",0,0.032949265965371,0,0,0,0.032949265965371
"311",0,0.0325912019688825,0,0,0,0.0325912019688825
"312",0,0,0,0,0,0
"313",0,0,0,0,0,0
"314",0,0.00291823906887778,0,0.00291823906887778,0,0
"315",0.131043794974806,0,0,0,0,0
"316",0,0,0,0,0,0
"317",0,0,0,0,0,0
"318",0,0,0,0,0,0
"319",0,0.00642905723050724,0,0,0.00642905723050724,0
"320",0,0,0,0,0,0
"321",0,0,0,0,0,0
"322",0.0277308988057055,0,0,0,0,0
"323",0.117106289468106,0.140578421135729,0.080620325550866,0.0196170248334369,0,0.120961396302292
"324",0,0.0265051132195175,0,0,0.0265051132195175,0
"325",0,0.0854042013533896,0,0.0854042013533896,0,0
"326",0,0,0,0,0,0
"327",0,0.0220134295497001,0,0.0220134295497001,0,0
"328",0,0,0,0,0,0
"329",0,0,0,0,0,0
"330",0,0,0,0,0,0
"331",0,0,0,0,0,0
"332",0,0,0,0,0,0
"333",0.106961950059006,0.177678733346101,0.0873363671622815,0,0,0.177678733346101
"334",0,0,0,0,0,0
"335",0,0,0,0,0,0
"336",0,0.0155015453770506,0,0.0155015453770506,0,0
"337",0,0.0366253896626549,0,0,0,0.0366253896626549
"338",0.202138148076605,0.0522779723953217,0.126233245920353,0,0.00238034392948627,0.0498976284658355
"339",0,0,0,0,0,0
"340",0.354358410057106,0.256315825507397,0.300472587132111,0,0.0603758283403728,0.195939997167024
"341",0,0,0,0,0,0
"342",0,0,0,0,0,0
"343",0,0,0,0,0,0
"344",0,0,0,0,0,0
"345",0,0,0,0,0,0
"346",0,0.00367156651914513,0.0295292141757937,0,0,0.00367156651914513
"347",0,0,0,0,0,0
"348",0,0,0,0,0,0
"349",0,0.00386633533618586,0,0,0.00386633533618586,0
"350",0,0.025591058647386,0,0.0014039894440625,0.0241870692033235,0
"351",0,0,0,0,0,0
"352",0,0.0969330329495861,0,0,0.0969330329495861,0
"353",0,0,0,0,0,0
"354",0,0,0,0,0,0
"355",0,0,0,0,0,0
"356",0,0,0,0,0,0
"357",0,0,0,0,0,0
"358",0,0.0234619606106072,0,0.0234619606106072,0,0
"359",0,0.0489189202087665,0,0,0,0.0489189202087665
"360",0,0,0,0,0,0
"361",0.062315582550406,0.0772479738325753,0.134465169174405,0,0.0772479738325753,0
"362",0,0.0145805829455004,0.00569369699740641,0,0,0.0145805829455004
"363",0,0,0,0,0,0
"364",0.0515854310387063,0.196775479825497,0.0446925351667513,0,0,0.196775479825497
"365",0,0,0,0,0,0
"366",0,0,0,0,0,0
"367",0.0773739239237052,0.0244512137820401,0.0782973909463696,0,0,0.0244512137820401
"368",0,0,0,0,0,0
"369",0,0,0,0,0,0
"370",0,0,0,0,0,0
"371",0,0,0,0,0,0
"372",0,0,0,0,0,0
"373",0,0,0,0,0,0
"374",0,0,0,0,0,0
"375",0,0,0,0,0,0
"376",0,0,0,0,0,0
"377",0.0370401976440053,0.0284495950761627,0,0,0,0.0284495950761627
"378",0,0,0,0,0,0
"379",0,0,0,0,0,0
"380",0,0,0,0,0,0
"381",0,0,0,0,0,0
"382",0,0.0719543706495394,0.0484320522427026,0,0,0.0719543706495394
"383",0,0.0498224899556039,0,0,0.0498224899556039,0
"384",0,0,0,0,0,0
"385",0,0.159733887505514,0.177209545317924,0.00997221041898122,0,0.149761677086532
"386",0,0.100145942639749,0,0,0,0.100145942639749
"387",0.0765885073462051,0.229705432035908,0.105966971666863,0,0,0.229705432035908
"388",0,0,0,0,0,0
"389",0,0,0,0,0,0
"390",0,0.0840449982643072,0,0,0,0.0840449982643072
"391",0,0,0,0,0,0
"392",0,0,0,0,0,0
"393",0,0.108811091354776,0,0,0,0.108811091354776
"394",0.241234882632806,0.275633107318857,0.251236878443679,0,0,0.275633107318857
"395",0,0,0,0,0,0
"396",0.071816231852905,0.0629543580779863,0.127954485303523,0.00533589759336728,0.057618460484619,0
"397",0,0,0,0,0,0
"398",0,0,0,0,0,0
"399",0,0,0,0,0,0
"400",0,0,0,0,0,0
"401",0.0145759594058052,0.227998660319312,0,0,0,0.227998660319312
"402",0,0.258816034950438,0,0,0,0.258816034950438
"403",0,0,0,0,0,0
"404",0,0.172835878742731,0,0.172835878742731,0,0
"405",0,0,0,0,0,0
"406",0,0.0163769944722993,0,0.0163769944722993,0,0
"407",0,0,0,0,0,0
"408",0.112168343475206,0.0940420687634376,0.122577078864824,0.0139357744605064,0,0.0801062943029311
"409",0,0,0,0,0,0
"410",0,0.0608305158252911,0,0,0,0.0608305158252911
"411",0,0.0530949526047486,0.00226114160079227,0,0.0530949526047486,0
"412",0,0,0,0,0,0
"413",0.0608836911745048,0.0247854068454281,0.0575316205900336,0,0,0.0247854068454281
"414",0,0,0,0,0,0
"415",0,0,0,0,0,0
"416",0,0,0,0,0,0
"417",0,0,0,0,0,0
"418",0,0,0,0,0,0
"419",0,0,0,0,0,0
"420",0,0,0,0,0,0
"421",0,0.118111094869823,0,0.118111094869823,0,0
"422",0,0,0,0,0,0
"423",0,0.0108329443634982,0,0.0108329443634982,0,0
"424",0,0,0,0,0,0
"425",0,0,0,0,0,0
"426",0,0,0,0,0,0
