name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Check eGIRD,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),LAT,LON
SHELRF_1_UNITS,ngcc,PGE_bay,100,8.87,9.13,9.39,40,100,5,5,2,45.94095941,7000,TRUE,716.905,1.437,0.016,15.40701796,21.3804045,0.570624,7.062336,38.0169,-122.1117
SIERRA_1_UNITS,ngct,PGE_valley,52.43,8.85,8.91,8.98,19,53,1,1,3.17,22.19178082,3670.1,TRUE,1072.78,2.824,0.029,23.05513385,16.01914,0.177596,1.413492,35.509041,-119.030546
SMPRIP_1_SMPSON,ngct,PGE_valley,46.05,9.37,9.43,9.5,17,47,1,1,3.17,19.45205479,3223.5,TRUE,1361.41,0.121,0.006,29.25808626,1.4922325,0.145125,3.38229,37.7315,-121.116
SNCLRA_2_HOWLNG,ngct,SCE,13,8.66,8.73,8.79,5,13,1,1,3.17,5.479452055,910,TRUE,1081.15,24.784,0.03,23.23501367,162.27324,0.559395,2.059592,34.179722,-119.083056
SNCLRA_6_OXGEN,ngct,SCE,48.9,7.23,7.29,7.36,18,49,1,1,3.17,20.54794521,3423,TRUE,884.147,2.348,0.024,19.00121873,15.37353,0.447516,2.059592,34.1958,-119.1664
SRINTL_6_UNIT,ngct,PGE_bay,6.9,7.4,7.46,7.53,3,7,1,1,3.17,2.904109589,483,TRUE,696.762,1.844,0.019,14.9741244,15.283994,0.4126325,3.549797,37.455314,-122.172797
STIGCT_2_LODI,ngct,PGE_valley,49.9,9.47,9.53,9.6,18,50,1,1,3.17,21.09589041,3493,TRUE,843.476,0.042,0.004,18.12715755,0.517965,0.09675,3.38229,38.088056,-121.3875
SUNRIS_2_PL1X3,ngcc,PGE_valley,586.02,9.84,10.1,10.36,235,587,4,4,2,269.3726937,41021.4,TRUE,831.816,0.038,0.004,17.87657229,0.215555,0.024496,1.414905,35.2097,-119.585
SUNSET_2_UNITS,ngct,PGE_valley,248,7.6,7.66,7.73,87,248,1,1,3.17,104.6575342,17360,TRUE,598.754,1.584,0.016,12.86783275,8.98524,0.097984,1.413492,35.2269,-119.6294
SYCAMR_2_UNIT1,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,TRUE,701.62,1.865,0.019,15.07852776,10.5792125,0.116356,1.413492,35.452577,-118.985313
SYCAMR_2_UNIT2,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,TRUE,701.62,1.865,0.019,15.07852776,10.5792125,0.116356,1.413492,35.452577,-118.985313
SYCAMR_2_UNIT3,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,TRUE,701.62,1.865,0.019,15.07852776,10.5792125,0.116356,1.413492,35.452577,-118.985313
SYCAMR_2_UNIT4,ngct,SCE,85,7.33,7.4,7.46,30,85,1,1,3.17,35.89041096,5950,TRUE,701.62,1.865,0.019,15.07852776,10.5792125,0.116356,1.413492,35.452577,-118.985313
TANHIL_6_SOLART,ngct,PGE_valley,17,7.49,7.56,7.62,6,17,1,1,3.17,7.123287671,1190,TRUE,763.162,2.019,0.021,16.40112797,11.4527775,0.128604,1.413492,35.089829,-119.440881
TENGEN_2_PL1X2,ngct,SCE,40.2,7.26,7.32,7.39,15,41,1,1,3.17,16.98630137,2814,TRUE,655.058,1.733,0.018,14.077863,77.0691095,1.52406,12.62517,34.38407,-118.494882
TIDWTR_2_UNITS,ngcc,PGE_bay,114.8,6.63,6.89,7.15,46,115,6,6,2,52.73062731,8036,TRUE,692.907,1.825,0.019,14.89127652,27.1532625,0.677616,7.062336,38.0244,-122.0589
TXMCKT_6_UNIT,ngct,PGE_valley,11.2,6.41,6.48,6.54,4,12,1,1,3.17,4.657534247,784,TRUE,1345.45,3.559,0.037,28.91508962,20.1884275,0.226588,1.413492,35.3161,-119.6597
UNOCAL_1_UNITS,ngct,PGE_bay,57.3,6.37,6.43,6.5,21,58,1,1,3.17,24.1369863,4011,TRUE,625.391,0.806,0.002,13.44028898,11.992071,0.071328,7.062336,38.0417,-122.2583
UNVRSY_1_UNIT1,ngct,PGE_valley,38,7.26,7.32,7.39,14,38,1,1,3.17,15.89041096,2660,TRUE,634.85,1.68,0.017,13.64357252,9.5298,0.104108,1.413492,35.093046,-119.443617
VACADX_1_UNITA1,ngct,PGE_valley,50.61,11.9,11.97,12.03,18,51,1,1,3.17,21.36986301,3542.7,TRUE,1264.6,0.111,0.007,27.17754084,1.223331,0.180089,4.476259,38.398867,-121.923973
VERNON_6_GONZL1,ngct,SCE,5.75,12.7,12.77,12.83,3,6,1,1,3.17,2.465753425,402.5,TRUE,1612.6,4.269,0.044,34.65641496,189.8488335,3.72548,12.62517,33.9986,-118.2219
VERNON_6_GONZL2,ngct,SCE,5.75,12.7,12.77,12.83,3,6,1,1,3.17,2.465753425,402.5,TRUE,1612.6,4.269,0.044,34.65641496,189.8488335,3.72548,12.62517,33.9986,-118.2219
VERNON_6_MALBRG,ngcc,SCE,134,7.86,8.12,8.38,54,134,3,3,2,61.62361624,9380,TRUE,985.457,0.066,0.005,21.17847372,2.935119,0.42335,12.63779,33.9986,-118.2219
VESTAL_2_WELLHD,ngct,SCE,49,7.63,7.7,7.76,18,49,1,1,3.17,20.54794521,3430,TRUE,1446.86,0.114,0.007,31.09449371,0.4185624,0.03432205,0.7742778,35.790864,-119.294469
WALCRK_2_CTG1,ngct,SCE,96.43,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6750.1,TRUE,1170.93,0.11,0.006,25.16447723,4.891865,0.50802,12.63779,34.008709,-117.944864
WALCRK_2_CTG2,ngct,SCE,96.91,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6783.7,TRUE,1170.93,0.11,0.006,25.16447723,4.891865,0.50802,12.63779,34.008709,-117.944864
WALCRK_2_CTG3,ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,TRUE,1170.93,0.11,0.006,25.16447723,4.891865,0.50802,12.63779,34.008709,-117.944864
WALCRK_2_CTG4,ngct,SCE,96.49,7.37,7.44,7.5,34,97,1,1,3.17,40.54794521,6754.3,TRUE,1170.93,0.11,0.006,25.16447723,4.891865,0.50802,12.63779,34.008709,-117.944864
WALCRK_2_CTG5,ngct,SCE,96.65,7.37,7.44,7.5,34,97,1,1,3.17,40.82191781,6765.5,TRUE,1170.93,0.11,0.006,25.16447723,4.891865,0.50802,12.63779,34.008709,-117.944864
WOLFSK_1_UNITA1,ngct,PGE_valley,46.9,9.31,9.38,9.44,17,47,1,1,3.17,19.7260274,3283,TRUE,1429.55,0.196,0.006,30.72248419,2.160116,0.154362,4.476259,38.228522,-122.07525
YUBACT_1_SUNSWT,ngct,PGE_valley,49.97,7.63,7.69,7.76,18,50,1,1,3.17,21.09589041,3497.9,TRUE,883.181,2.428,0.024,18.98045841,9.5680196,0.269028,1.17131,39.13667,-121.639846
YUBACT_6_UNITA1,ngct,PGE_valley,46,10.84,10.91,10.97,17,46,1,1,3.17,19.45205479,3220,TRUE,143.2,0.102,0.001,3.077513719,0.4019514,0.0112095,1.172481,39.1365,-121.6397
